mariataylor,GB46COEO29222669332973,saphiro,6583937500721886,2025-08-18 21:56:06,Lenskart,Grocery,56005.24,INR,Credit Card,Nicolehaven,Purchase,March,Reversed
johnjenkins,GB60MCDL23336787099926,rupay,4608635057793,2025-01-30 22:21:07,Foodhall,Travel,52324.30,INR,NEFT,Murphyport,Deposit,March,Pending
victoriacarroll,GB19UGHF87709682946555,VISA,3570238935069211,2025-02-26 06:26:36,V-Mart Retail Ltd,Grocery,63046.66,INR,Credit Card,South Kathryn,Purchase,May,Declined
bwyatt,GB86EQZJ83834035012065,Maestro,2290155419163081,2025-09-25 08:24:47,JioMart,Dining,67851.94,INR,RTGS,Perezton,Refund,May,Declined
davidsellers,GB96HVYZ41977502941105,VISA,4328848799277,2025-11-16 16:45:39,Spar Hypermarket,Grocery,51857.60,INR,Debit Card,Lopezview,Refund,June,Approved
bdougherty,GB63INRE01798209283210,chhupay,30428940835595,2025-04-08 23:05:46,IKEA India,Travel,73937.41,INR,NEFT,South Nancyside,Deposit,August,Declined
alexander80,GB47DTKL89624154123530,Maestro,4613585105158126,2025-12-13 19:15:38,Marks & Spencer India,Health,78993.12,INR,UPI,Alexandramouth,Refund,January,Declined
connergary,GB45DDCV01334981347650,Maestro,180039101430411,2025-06-13 11:08:30,Brand Factory,Grocery,93373.00,INR,UPI,Lake Cory,Purchase,December,Declined
steventurner,GB31ZSYL17204651352777,VISA,3523473940285498,2025-02-08 09:02:34,Urban Ladder,Clothing,72036.04,INR,UPI,North Nicholas,Withdrawal,January,Declined
wjennings,GB64BVTO13557925560435,Maestro,5246985331334842,2025-10-13 09:29:42,Nykaa,Health,81823.63,INR,Debit Card,North Amandaland,Refund,February,Declined
vjones,GB04WTGK96365123451738,VISA,38417749803278,2025-08-28 19:11:22,Reliance Fresh,Dining,51357.36,INR,Credit Card,Davidchester,Withdrawal,September,Reversed
snydercharles,GB21OPLK19987244507545,Discover,213191373218353,2025-01-15 19:16:14,Myntra,Clothing,98651.89,INR,RTGS,Natalieton,Withdrawal,March,Declined
anthony80,GB69ZLBB83406012602511,American Express,4152311953547584,2025-06-15 20:16:21,JioMart,Travel,76738.15,INR,Debit Card,West Bryan,Purchase,November,Declined
kevingreene,GB60TYRQ59885415485639,chhupay,4774299894890254,2025-03-14 04:17:55,Foodhall,Electronics,76679.88,INR,Bank Transfer,Donnafort,Purchase,March,Reversed
nrosales,GB77BZJT64123805612700,amex,6511421050592457,2025-07-11 06:36:02,Shoppers Stop,Electronics,93951.40,INR,Credit Card,Howardfurt,Purchase,October,Declined
leanne,GB63PMYY15748763976115,amex,4085998486092153,2025-02-11 14:18:29,Reliance Digital,Health,78311.18,INR,RTGS,East Dorisfurt,Purchase,May,Approved
steventurner,GB46WCVP13624936010988,VISA,4608635057793,2025-08-23 05:38:15,V-Mart Retail Ltd,Health,53573.34,INR,NEFT,Hendrixborough,Withdrawal,August,Declined
thomas78,GB75KYPZ12901474520418,Mastercard,3524335210962875,2025-12-14 15:46:28,Spar Hypermarket,Dining,83376.48,INR,Debit Card,East Aaronville,Refund,April,Reversed
reginaschultz,GB41EAKI28893031525966,chhupay,4519312598991476749,2025-05-15 11:12:40,ShopClues,Clothing,87178.06,INR,Credit Card,Fostertown,Refund,November,Approved
joshuawarner,GB06MVNH11865641987455,Mastercard,3555272555068145,2025-09-10 12:12:21,Avenue Supermarts,Electronics,93135.79,INR,NEFT,Markton,Purchase,January,Pending
llawrence,GB50JZZJ68273848863020,Diners Club,180001908518368,2025-01-12 07:09:34,Pantaloons,Grocery,64446.16,INR,Mobile Payment,North Jordanton,Refund,July,Approved
obryant,GB36NISQ91351591633147,chhupay,4205231707176406,2025-10-22 15:16:07,Nilgiris,Health,54427.36,INR,RTGS,Stephenberg,Deposit,August,Approved
melissa40,GB02URZV62847107330836,Maestro,5187237245524725,2025-07-08 02:50:02,Marks & Spencer India,Grocery,81187.56,INR,Debit Card,East Crystal,Refund,March,Pending
williamsjoan,GB30QXTV51856987458072,rupay,575023974935,2025-05-27 18:41:33,Future Group,Dining,92277.75,INR,Credit Card,Shawnaport,Purchase,June,Approved
snydercharles,GB32EKSY57232455194455,American Express,6544559417050015,2025-01-29 02:43:21,HyperCity,Grocery,97872.25,INR,RTGS,Floresfurt,Refund,February,Approved
jamesblake,GB87ZXSX69499201672814,VISA,2668773874878771,2025-07-13 20:09:38,Foodhall,Travel,57681.65,INR,RTGS,West Juliefort,Deposit,March,Approved
bjoseph,GB67KYUW69867331656341,VISA,341484541649517,2025-04-29 11:28:34,Central,Travel,97736.98,INR,Credit Card,West Casey,Deposit,October,Declined
bjoseph,GB17BRVN75636061271133,Mastercard,3524943223232283,2025-10-13 23:01:03,V-Mart Retail Ltd,Dining,76900.37,INR,RTGS,Evansberg,Withdrawal,November,Reversed
justinsmith,GB51WTHY69146217673044,VISA,4275776322889,2025-01-02 00:24:10,BlueStone,Grocery,80823.72,INR,NEFT,South Anita,Deposit,February,Pending
shelleyduarte,GB39ZLIC29327153391228,American Express,5190191081415297,2025-03-31 18:23:12,Spar Hypermarket,Dining,53281.22,INR,UPI,North Samantha,Refund,July,Approved
michaelvelazquez,GB65HONW07587253608335,American Express,30271042183880,2025-07-29 03:42:58,IKEA India,Grocery,73777.18,INR,Credit Card,Stonetown,Refund,August,Approved
mfisher,GB31VVDF36362640547732,VISA,2255367537222565,2025-11-28 08:47:18,CaratLane,Clothing,78831.12,INR,Debit Card,Loganmouth,Withdrawal,June,Reversed
