person_name,acct_num,card_company,card_number,txn_datetime,merch_name,merch_cat,txn_amount,currency,pay_meth,city,txn_type,bill_cyc,txn_status
mariataylor,GB46COEO29222669332973,saphiro,6583937500721886,2025-08-18 21:56:06,Lenskart,Grocery,56005.24,INR,Credit Card,Nicolehaven,Purchase,March,Reversed
johnjenkins,GB60MCDL23336787099926,rupay,4608635057793,2025-01-30 22:21:07,Foodhall,Travel,52324.30,INR,NEFT,Murphyport,Deposit,March,Pending
victoriacarroll,GB19UGHF87709682946555,VISA,3570238935069211,2025-02-26 06:26:36,V-Mart Retail Ltd,Grocery,63046.66,INR,Credit Card,South Kathryn,Purchase,May,Declined
bwyatt,GB86EQZJ83834035012065,Maestro,2290155419163081,2025-09-25 08:24:47,JioMart,Dining,67851.94,INR,RTGS,Perezton,Refund,May,Declined
davidsellers,GB96HVYZ41977502941105,VISA,4328848799277,2025-11-16 16:45:39,Spar Hypermarket,Grocery,51857.60,INR,Debit Card,Lopezview,Refund,June,Approved
bdougherty,GB63INRE01798209283210,chhupay,30428940835595,2025-04-08 23:05:46,IKEA India,Travel,73937.41,INR,NEFT,South Nancyside,Deposit,August,Declined
dalejohnson,GB93CTGO57956631897928,Discover,180048785121899,2025-01-13 12:04:35,IKEA India,Travel,31327.45,INR,UPI,Freyshire,Withdrawal,December,Declined
alexander80,GB47DTKL89624154123530,Maestro,4613585105158126,2025-12-13 19:15:38,Marks & Spencer India,Health,78993.12,INR,UPI,Alexandramouth,Refund,January,Declined
palmerjeffrey,GB13WWGN10374016264033,amex,4329750404758942564,2025-04-24 23:17:10,Pantaloons,Travel,11978.79,INR,RTGS,Port Juan,Deposit,December,Declined
connergary,GB45DDCV01334981347650,Maestro,180039101430411,2025-06-13 11:08:30,Brand Factory,Grocery,93373.00,INR,UPI,Lake Cory,Purchase,December,Declined
jeffreysutton,GB02KEJN73774101948206,Discover,3509486549067248,2025-01-08 06:39:43,Central,Dining,40573.84,INR,Bank Transfer,North Elizabeth,Refund,April,Pending
amanda32,GB17LOHH85691757560803,rupay,4003546167396,2025-02-25 19:55:20,Godrej Consumer Products,Health,23584.41,INR,Mobile Payment,Gordonborough,Deposit,February,Approved
benjamin11,GB89YFVJ85989511744724,Diners Club,375554820436460,2025-06-07 02:08:14,Urban Ladder,Clothing,19320.98,INR,Debit Card,Suzanneburgh,Withdrawal,May,Reversed
sandovalmary,GB83WHTZ90571781086104,rupay,2338083192184559,2025-01-09 04:05:18,Tata CLiQ,Dining,37071.66,INR,RTGS,Richardbury,Purchase,October,Approved
steventurner,GB31ZSYL17204651352777,VISA,3523473940285498,2025-02-08 09:02:34,Urban Ladder,Clothing,72036.04,INR,UPI,North Nicholas,Withdrawal,January,Declined
mullinsjessica,GB75WUJL45544775884504,rupay,180091973524508,2025-04-06 09:27:48,Flipkart,Grocery,31975.19,INR,Bank Transfer,West Frederick,Deposit,July,Declined
wjennings,GB64BVTO13557925560435,Maestro,5246985331334842,2025-10-13 09:29:42,Nykaa,Health,81823.63,INR,Debit Card,North Amandaland,Refund,February,Declined
edward04,GB37OPEZ82914084847914,chhupay,3582567489932655,2025-01-18 18:24:35,BabyChakra,Electronics,14554.86,INR,Debit Card,South Thomas,Purchase,April,Approved
vjones,GB04WTGK96365123451738,VISA,38417749803278,2025-08-28 19:11:22,Reliance Fresh,Dining,51357.36,INR,Credit Card,Davidchester,Withdrawal,September,Reversed
snydercharles,GB21OPLK19987244507545,Discover,213191373218353,2025-01-15 19:16:14,Myntra,Clothing,98651.89,INR,RTGS,Natalieton,Withdrawal,March,Declined
anthony80,GB69ZLBB83406012602511,American Express,4152311953547584,2025-06-15 20:16:21,JioMart,Travel,76738.15,INR,Debit Card,West Bryan,Purchase,November,Declined
udiaz,GB44GQIP57268444121173,Mastercard,4933252097105778822,2025-04-21 22:34:41,Titan Company,Clothing,16818.71,INR,Credit Card,Hernandeztown,Refund,August,Declined
juan71,GB68FFPG47865910079853,VISA,4741204826478202,2025-01-10 19:27:52,Aditya Birla Retai,Electronics,25834.74,INR,Debit Card,North Patriciaton,Withdrawal,October,Pending
hjones,GB19YFCN70841594934597,VISA,4279792883331942067,2025-05-18 10:46:17,FirstCry,Health,35253.52,INR,UPI,Johnsonstad,Withdrawal,March,Approved
angela28,GB91PHCA53491490380540,Diners Club,213153338983927,2025-09-29 17:25:28,Reliance Digital,Electronics,29970.37,INR,Credit Card,North Kathleenside,Deposit,December,Pending
kevingreene,GB60TYRQ59885415485639,chhupay,4774299894890254,2025-03-14 04:17:55,Foodhall,Electronics,76679.88,INR,Bank Transfer,Donnafort,Purchase,March,Reversed
derekmontgomery,GB66SVXO46231262204162,amex,4746451398195516196,2025-07-02 04:54:03,Godrej Consumer Products,Health,24826.76,INR,UPI,Port Michaelshire,Withdrawal,August,Approved
johnstonbenjamin,GB89FUON65372010539458,rupay,213114270176094,2025-12-12 08:17:02,Decathlon India,Electronics,15191.24,INR,Debit Card,Port Laurashire,Deposit,June,Pending
fwilson,GB71LQUJ09628531758286,saphiro,2488007312877451,2025-04-15 14:23:12,Decathlon India,Clothing,39734.76,INR,Mobile Payment,Maryburgh,Withdrawal,March,Approved
anthonymarks,GB21ECLR28589397076565,American Express,565076113143,2025-09-20 19:48:59,Marks & Spencer India,Clothing,18674.59,INR,Debit Card,Lewismouth,Withdrawal,July,Declined
chadnorris,GB05CRIF66635383315803,VISA,4933594869503236984,2025-02-01 15:19:03,Spencer’s Retail,Dining,941.50,INR,Bank Transfer,New Justinton,Deposit,January,Reversed
